raw_text,aspectTerms,qwen_pred
– Great financial district mexican spot.,"[{'term': 'mexican spot', 'polarity': 'positive'}]","content=""['financial district mexican spot']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:54.447272176Z', 'done': True, 'done_reason': 'stop', 'total_duration': 145291330, 'load_duration': 20021355, 'prompt_eval_count': 181, 'prompt_eval_duration': 16000000, 'eval_count': 8, 'eval_duration': 104000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-771e8a3d-27d6-4d18-9ccf-dadea5add976-0' usage_metadata={'input_tokens': 181, 'output_tokens': 8, 'total_tokens': 189}"
"Always busy, but they are good at seating you promptly and have quick service.","[{'term': 'service', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:54.570813193Z', 'done': True, 'done_reason': 'stop', 'total_duration': 121370720, 'load_duration': 16911239, 'prompt_eval_count': 189, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 83000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-f00515cb-bca7-46c5-85e4-8ead928722b8-0' usage_metadata={'input_tokens': 189, 'output_tokens': 6, 'total_tokens': 195}"
"Everything I've had here is good, taco salads, burritos, enchiladas i love this place.","[{'term': 'taco salads', 'polarity': 'positive'}, {'term': 'burritos', 'polarity': 'positive'}, {'term': 'enchiladas', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}]","content='[taco salads, burritos, enchiladas]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:54.771693584Z', 'done': True, 'done_reason': 'stop', 'total_duration': 199115013, 'load_duration': 16166139, 'prompt_eval_count': 195, 'prompt_eval_duration': 18000000, 'eval_count': 12, 'eval_duration': 160000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-a18be6ef-9f65-4beb-b045-b5227a0df1be-0' usage_metadata={'input_tokens': 195, 'output_tokens': 12, 'total_tokens': 207}"
Also have great margaritas!,"[{'term': 'margaritas', 'polarity': 'positive'}]","content='[margaritas]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:54.876508754Z', 'done': True, 'done_reason': 'stop', 'total_duration': 103198922, 'load_duration': 16965389, 'prompt_eval_count': 180, 'prompt_eval_duration': 16000000, 'eval_count': 5, 'eval_duration': 66000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-0db2c76b-f811-405f-afde-f5a67b8d8b1e-0' usage_metadata={'input_tokens': 180, 'output_tokens': 5, 'total_tokens': 185}"
You can order to go if you have to get back to the office too!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:55.00066887Z', 'done': True, 'done_reason': 'stop', 'total_duration': 122438468, 'load_duration': 18084948, 'prompt_eval_count': 189, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-7efd86cb-d7d3-4c87-ac14-d4297f51c9c5-0' usage_metadata={'input_tokens': 189, 'output_tokens': 6, 'total_tokens': 195}"
Lebanese Food!Yum!,"[{'term': 'Lebanese Food', 'polarity': 'positive'}]","content=""['Lebanese Food']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:55.131556508Z', 'done': True, 'done_reason': 'stop', 'total_duration': 129041330, 'load_duration': 16164750, 'prompt_eval_count': 181, 'prompt_eval_duration': 17000000, 'eval_count': 7, 'eval_duration': 91000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-685005b7-fb79-4710-a938-7fb953e6d2ca-0' usage_metadata={'input_tokens': 181, 'output_tokens': 7, 'total_tokens': 188}"
"– I've been to Open Sesame only once, but I'm still reeling from the experience!!","[{'term': 'Open Sesame', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:55.255093255Z', 'done': True, 'done_reason': 'stop', 'total_duration': 121440139, 'load_duration': 16880859, 'prompt_eval_count': 194, 'prompt_eval_duration': 19000000, 'eval_count': 6, 'eval_duration': 81000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-141e6f28-8fd7-4d50-8a96-0daecb10b40f-0' usage_metadata={'input_tokens': 194, 'output_tokens': 6, 'total_tokens': 200}"
The food is simply unforgettable!,"[{'term': 'food', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:55.371426901Z', 'done': True, 'done_reason': 'stop', 'total_duration': 114765427, 'load_duration': 16336309, 'prompt_eval_count': 179, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 78000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-d5f54b45-b1de-4fa5-a765-55698055dfa6-0' usage_metadata={'input_tokens': 179, 'output_tokens': 6, 'total_tokens': 185}"
I had the beef kabobs with a side of cucumber yogurt.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content=""['beef kabobs', 'cucumber yogurt']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:55.570005956Z', 'done': True, 'done_reason': 'stop', 'total_duration': 196874057, 'load_duration': 16928260, 'prompt_eval_count': 186, 'prompt_eval_duration': 17000000, 'eval_count': 12, 'eval_duration': 159000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-be40ae1b-1200-45fa-b829-d58000fff32b-0' usage_metadata={'input_tokens': 186, 'output_tokens': 12, 'total_tokens': 198}"
"The presentation of the food was an added bonus, it looked just as great as it tasted!","[{'term': 'food', 'polarity': 'positive'}]","content=""['presentation']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:55.664413939Z', 'done': True, 'done_reason': 'stop', 'total_duration': 93011425, 'load_duration': 15945640, 'prompt_eval_count': 192, 'prompt_eval_duration': 17000000, 'eval_count': 4, 'eval_duration': 55000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-b05aa81a-aecd-4d81-9920-3e7b480ea144-0' usage_metadata={'input_tokens': 192, 'output_tokens': 4, 'total_tokens': 196}"
My best friend had the chicken shawarma and she STILL raves about it being the best anywhere!,"[{'term': 'chicken shawarma', 'polarity': 'positive'}]","content=""['chicken shawarma']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:55.814938362Z', 'done': True, 'done_reason': 'stop', 'total_duration': 149204245, 'load_duration': 18559437, 'prompt_eval_count': 194, 'prompt_eval_duration': 19000000, 'eval_count': 8, 'eval_duration': 108000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-be65ba6c-125f-4208-ae36-3002727c2db7-0' usage_metadata={'input_tokens': 194, 'output_tokens': 8, 'total_tokens': 202}"
Her sister had the baklava for dessert!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content=""['baklava']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:55.934903254Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117273985, 'load_duration': 16587110, 'prompt_eval_count': 183, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-b39bb916-cc50-4abf-b6bc-ff15e3dda736-0' usage_metadata={'input_tokens': 183, 'output_tokens': 6, 'total_tokens': 189}"
"What a tastly, flaky treat!","[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:56.052396159Z', 'done': True, 'done_reason': 'stop', 'total_duration': 115409047, 'load_duration': 16073780, 'prompt_eval_count': 182, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-51f09ea0-9944-47da-8c1f-b9ab148a8535-0' usage_metadata={'input_tokens': 182, 'output_tokens': 6, 'total_tokens': 188}"
The staff are friendly and the decor was ethic and colorful.,"[{'term': 'staff', 'polarity': 'positive'}, {'term': 'decor', 'polarity': 'positive'}]","content=""['staff', 'decor']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:56.185439324Z', 'done': True, 'done_reason': 'stop', 'total_duration': 131090208, 'load_duration': 16291860, 'prompt_eval_count': 185, 'prompt_eval_duration': 17000000, 'eval_count': 7, 'eval_duration': 92000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-00660411-8652-440c-9ee1-8d953225bb4a-0' usage_metadata={'input_tokens': 185, 'output_tokens': 7, 'total_tokens': 192}"
GO TO OPEN SESAME!!!,"[{'term': 'OPEN SESAME', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:56.303201758Z', 'done': True, 'done_reason': 'stop', 'total_duration': 115583967, 'load_duration': 16473060, 'prompt_eval_count': 179, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-c3620d30-730b-4854-90bf-4e1b67179fb3-0' usage_metadata={'input_tokens': 179, 'output_tokens': 6, 'total_tokens': 185}"
Holy Hummus!,"[{'term': 'Hummus', 'polarity': 'positive'}]","content='[holy hummus]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:56.421160762Z', 'done': True, 'done_reason': 'stop', 'total_duration': 115795977, 'load_duration': 16776440, 'prompt_eval_count': 177, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 78000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-5276fdd1-51d3-405e-b7a8-d2825a648bf9-0' usage_metadata={'input_tokens': 177, 'output_tokens': 6, 'total_tokens': 183}"
"– The food is here is incredible, though the quality is inconsistent during lunch.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'lunch', 'polarity': 'negative'}]","content=""['food', 'quality']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:56.556589025Z', 'done': True, 'done_reason': 'stop', 'total_duration': 133593725, 'load_duration': 16990619, 'prompt_eval_count': 189, 'prompt_eval_duration': 17000000, 'eval_count': 7, 'eval_duration': 95000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-39794363-4833-4d3a-8a45-3042fb69bf3e-0' usage_metadata={'input_tokens': 189, 'output_tokens': 7, 'total_tokens': 196}"
"Dinners have always been excellent, in terms of food quality.","[{'term': 'Dinners', 'polarity': 'positive'}]","content=""['food quality']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:56.663466432Z', 'done': True, 'done_reason': 'stop', 'total_duration': 104341111, 'load_duration': 16074510, 'prompt_eval_count': 187, 'prompt_eval_duration': 17000000, 'eval_count': 5, 'eval_duration': 67000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-c6ea8ca4-cce7-4d72-81bb-57e404c5a71c-0' usage_metadata={'input_tokens': 187, 'output_tokens': 5, 'total_tokens': 192}"
The open sesame combo plate is a bargain for the heap of food given.,"[{'term': 'open sesame combo plate', 'polarity': 'positive'}]","content=""['open sesame combo plate']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:56.798583575Z', 'done': True, 'done_reason': 'stop', 'total_duration': 133021065, 'load_duration': 16303129, 'prompt_eval_count': 188, 'prompt_eval_duration': 17000000, 'eval_count': 7, 'eval_duration': 95000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-42283f41-d3de-4c9f-8655-64243b8bf28e-0' usage_metadata={'input_tokens': 188, 'output_tokens': 7, 'total_tokens': 195}"
"The side of potatoes is to die for, as is the labne (yogurt dip).","[{'term': 'side of potatoes', 'polarity': 'positive'}, {'term': 'labne (yogurt dip)', 'polarity': 'positive'}]","content=""['side of potatoes', 'labne']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:56.970994561Z', 'done': True, 'done_reason': 'stop', 'total_duration': 170315229, 'load_duration': 16531340, 'prompt_eval_count': 193, 'prompt_eval_duration': 18000000, 'eval_count': 10, 'eval_duration': 132000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-d2829cf7-948c-44f3-9928-55520f2c10c7-0' usage_metadata={'input_tokens': 193, 'output_tokens': 10, 'total_tokens': 203}"
"Also, they serve THE best hummus in America, with a drizzle of fragrant olive oil (which, I believe is the traditional way)!","[{'term': 'hummus', 'polarity': 'positive'}]","content=""['hummus']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:57.096036597Z', 'done': True, 'done_reason': 'stop', 'total_duration': 123325728, 'load_duration': 16250800, 'prompt_eval_count': 203, 'prompt_eval_duration': 20000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-b4795947-1410-4de0-954b-4b7b74a2fc06-0' usage_metadata={'input_tokens': 203, 'output_tokens': 6, 'total_tokens': 209}"
The only drawback is the crowded seating and the slow service.,"[{'term': 'seating', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'negative'}]","content=""['crowded seating', 'slow service']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:57.267952614Z', 'done': True, 'done_reason': 'stop', 'total_duration': 170843779, 'load_duration': 16145980, 'prompt_eval_count': 185, 'prompt_eval_duration': 17000000, 'eval_count': 10, 'eval_duration': 133000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-cd9746d3-32e3-4f86-a841-d3ac944b36e7-0' usage_metadata={'input_tokens': 185, 'output_tokens': 10, 'total_tokens': 195}"
There have been several occasions when we've just not gotten some side dishes we've ordered.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:57.389210124Z', 'done': True, 'done_reason': 'stop', 'total_duration': 119729562, 'load_duration': 16051110, 'prompt_eval_count': 191, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-f2dafffe-67a7-433e-907e-2e57e3f22943-0' usage_metadata={'input_tokens': 191, 'output_tokens': 6, 'total_tokens': 197}"
"However, this place is a gem, and I won't stop going back.","[{'term': 'place', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:57.510969223Z', 'done': True, 'done_reason': 'stop', 'total_duration': 119891551, 'load_duration': 15905800, 'prompt_eval_count': 189, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-eb647592-458d-4d25-85a1-a3f92806a133-0' usage_metadata={'input_tokens': 189, 'output_tokens': 6, 'total_tokens': 195}"
great beer,"[{'term': 'beer', 'polarity': 'positive'}]","content=""['beer']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:57.607854203Z', 'done': True, 'done_reason': 'stop', 'total_duration': 95398622, 'load_duration': 16069930, 'prompt_eval_count': 175, 'prompt_eval_duration': 17000000, 'eval_count': 4, 'eval_duration': 58000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-7143235a-1c41-4e6f-bf07-bf7f884e61c0-0' usage_metadata={'input_tokens': 175, 'output_tokens': 4, 'total_tokens': 179}"
– My first time to dine at this restaurant was with my son and it was absolutely horrible!,"[{'term': 'restaurant', 'polarity': 'negative'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:57.728193374Z', 'done': True, 'done_reason': 'stop', 'total_duration': 119064972, 'load_duration': 15942730, 'prompt_eval_count': 192, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 81000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-9e4b1237-9efe-4c85-818f-5f766515e6e0-0' usage_metadata={'input_tokens': 192, 'output_tokens': 6, 'total_tokens': 198}"
We waited over 30 minutes for our drinks and over 1 1/2 hours for our food.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:57.852009041Z', 'done': True, 'done_reason': 'stop', 'total_duration': 120920380, 'load_duration': 16153900, 'prompt_eval_count': 196, 'prompt_eval_duration': 19000000, 'eval_count': 6, 'eval_duration': 81000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-6cdc03f3-ade0-4c40-ae65-86798ca8022e-0' usage_metadata={'input_tokens': 196, 'output_tokens': 6, 'total_tokens': 202}"
I swore never to return for a warm beer and mediocre meal.,"[{'term': 'beer', 'polarity': 'negative'}, {'term': 'meal', 'polarity': 'negative'}]","content=""['warm beer', 'mediocre meal']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:58.026191335Z', 'done': True, 'done_reason': 'stop', 'total_duration': 172333216, 'load_duration': 16753229, 'prompt_eval_count': 186, 'prompt_eval_duration': 17000000, 'eval_count': 10, 'eval_duration': 134000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-60aed673-b332-4aad-87a3-2f7b56f48d24-0' usage_metadata={'input_tokens': 186, 'output_tokens': 10, 'total_tokens': 196}"
"HOWEVER, one Sunday afternoon my husband and I did go (although with my loud protests) and were pleasantly surprised.","[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:58.150934541Z', 'done': True, 'done_reason': 'stop', 'total_duration': 122187009, 'load_duration': 16474810, 'prompt_eval_count': 197, 'prompt_eval_duration': 19000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-90592efe-5ba9-4f78-81c3-5b41a0292838-0' usage_metadata={'input_tokens': 197, 'output_tokens': 6, 'total_tokens': 203}"
The band was very good and the service was attentive.,"[{'term': 'band', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","content=""['band', 'service']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:58.28075358Z', 'done': True, 'done_reason': 'stop', 'total_duration': 127737052, 'load_duration': 15966551, 'prompt_eval_count': 184, 'prompt_eval_duration': 16000000, 'eval_count': 7, 'eval_duration': 91000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-f7f08454-ade0-479e-afc7-c529370f56c4-0' usage_metadata={'input_tokens': 184, 'output_tokens': 7, 'total_tokens': 191}"
"Outside in the area between the restaurant and the park, children were running around while their parents sipped wine.","[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:58.404231017Z', 'done': True, 'done_reason': 'stop', 'total_duration': 121508439, 'load_duration': 16416909, 'prompt_eval_count': 195, 'prompt_eval_duration': 19000000, 'eval_count': 6, 'eval_duration': 81000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-90ad7b05-f224-4253-84fa-69c1aaa78858-0' usage_metadata={'input_tokens': 195, 'output_tokens': 6, 'total_tokens': 201}"
"We ordered a selection of the small plates, and the shoe string onions, goat cheese pizza, grilled asparagus and fried brie with fruit were all very good.","[{'term': 'shoe string onions', 'polarity': 'positive'}, {'term': 'goat cheese pizza', 'polarity': 'positive'}, {'term': 'grilled asparagus', 'polarity': 'positive'}, {'term': 'fried brie with fruit', 'polarity': 'positive'}]","content=""['shoe string onions', 'goat cheese pizza', 'grilled asparagus', 'fried brie with fruit']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:58.78963816Z', 'done': True, 'done_reason': 'stop', 'total_duration': 383603005, 'load_duration': 15756081, 'prompt_eval_count': 206, 'prompt_eval_duration': 20000000, 'eval_count': 26, 'eval_duration': 343000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-3e8b24dd-3448-4121-a571-632c0092ceef-0' usage_metadata={'input_tokens': 206, 'output_tokens': 26, 'total_tokens': 232}"
It was like dining at a completely different restaurant.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:58.907139335Z', 'done': True, 'done_reason': 'stop', 'total_duration': 115774487, 'load_duration': 16202180, 'prompt_eval_count': 183, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-dae0bc8d-9a61-4642-b02d-adeefd719bb8-0' usage_metadata={'input_tokens': 183, 'output_tokens': 6, 'total_tokens': 189}"
"We have since returned and also had a great experience, sampling more small plates and a variety of the beer ( cold and good).","[{'term': 'beer', 'polarity': 'positive'}]","content=""['small plates', 'beer']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:59.057487789Z', 'done': True, 'done_reason': 'stop', 'total_duration': 147554288, 'load_duration': 16066180, 'prompt_eval_count': 199, 'prompt_eval_duration': 19000000, 'eval_count': 8, 'eval_duration': 107000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-3eb85bb2-1ea0-4ddc-9dc5-477f9d910660-0' usage_metadata={'input_tokens': 199, 'output_tokens': 8, 'total_tokens': 207}"
"We did have the same waiter the second time, so maybe the service is spotty and our luck is good.","[{'term': 'waiter', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:59.180008147Z', 'done': True, 'done_reason': 'stop', 'total_duration': 120524621, 'load_duration': 16072820, 'prompt_eval_count': 196, 'prompt_eval_duration': 18000000, 'eval_count': 6, 'eval_duration': 81000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-cf2e0661-fc0a-40d9-af1a-9d3cf27aa818-0' usage_metadata={'input_tokens': 196, 'output_tokens': 6, 'total_tokens': 202}"
Sunday afternoons there is a band playing and it is lots of fun.,"[{'term': 'band', 'polarity': 'positive'}]","content='[band]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:59.273095952Z', 'done': True, 'done_reason': 'stop', 'total_duration': 91594047, 'load_duration': 15910081, 'prompt_eval_count': 189, 'prompt_eval_duration': 17000000, 'eval_count': 4, 'eval_duration': 54000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-08f7ca25-2436-4d2e-bf4c-3d8c761d9c5e-0' usage_metadata={'input_tokens': 189, 'output_tokens': 4, 'total_tokens': 193}"
Seattle's BEST Winelist,"[{'term': 'Winelist', 'polarity': 'positive'}]","content=""['Winelist']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:59.377025283Z', 'done': True, 'done_reason': 'stop', 'total_duration': 102461153, 'load_duration': 15876820, 'prompt_eval_count': 178, 'prompt_eval_duration': 16000000, 'eval_count': 5, 'eval_duration': 66000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-8c1a3adc-14b6-4045-a80e-96bb8234c475-0' usage_metadata={'input_tokens': 178, 'output_tokens': 5, 'total_tokens': 183}"
– Ray's (suprisingly) has the city's BEST & most diverse wine list.,"[{'term': 'wine list', 'polarity': 'positive'}]","content=""['wine list']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:59.4842722Z', 'done': True, 'done_reason': 'stop', 'total_duration': 105954958, 'load_duration': 16935739, 'prompt_eval_count': 192, 'prompt_eval_duration': 18000000, 'eval_count': 5, 'eval_duration': 67000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-92be0178-edc2-4ed5-9629-89c61438c37a-0' usage_metadata={'input_tokens': 192, 'output_tokens': 5, 'total_tokens': 197}"
"The sommelier is fantastic, down-to-earth, & extremely knowlegable.","[{'term': 'sommelier', 'polarity': 'positive'}]","content='[sommelier]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:59.592601986Z', 'done': True, 'done_reason': 'stop', 'total_duration': 106603838, 'load_duration': 16071551, 'prompt_eval_count': 190, 'prompt_eval_duration': 17000000, 'eval_count': 5, 'eval_duration': 69000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-16a8bddd-deef-463d-bd78-2ef61b469223-0' usage_metadata={'input_tokens': 190, 'output_tokens': 5, 'total_tokens': 195}"
I would go back for the wine experience alone.,"[{'term': 'wine', 'polarity': 'positive'}]","content=""['wine experience']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:59.696203088Z', 'done': True, 'done_reason': 'stop', 'total_duration': 102081754, 'load_duration': 15920551, 'prompt_eval_count': 183, 'prompt_eval_duration': 16000000, 'eval_count': 5, 'eval_duration': 66000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-8b0253f8-be89-4cdf-89ef-3c8c00ee4139-0' usage_metadata={'input_tokens': 183, 'output_tokens': 5, 'total_tokens': 188}"
Nice job!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:59.82367313Z', 'done': True, 'done_reason': 'stop', 'total_duration': 125592024, 'load_duration': 15543231, 'prompt_eval_count': 176, 'prompt_eval_duration': 19000000, 'eval_count': 6, 'eval_duration': 87000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-66d3ce8f-789a-4b5b-a1c4-9503561bd7c4-0' usage_metadata={'input_tokens': 176, 'output_tokens': 6, 'total_tokens': 182}"
NOT THE PLACE IT ONCE WAS,"[{'term': 'PLACE', 'polarity': 'negative'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:59.939376357Z', 'done': True, 'done_reason': 'stop', 'total_duration': 114458198, 'load_duration': 15510191, 'prompt_eval_count': 180, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-b0804f59-4496-4f1c-be46-baf66d523115-0' usage_metadata={'input_tokens': 180, 'output_tokens': 6, 'total_tokens': 186}"
"– It is sad to see a place that was once ""THE"" place to meet and eat for Bfast or Lunch, now be the place that is a big ""DONT BOTHER.""","[{'term': 'place', 'polarity': 'negative'}]","content=""['place']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:05:00.040535902Z', 'done': True, 'done_reason': 'stop', 'total_duration': 99721157, 'load_duration': 15764291, 'prompt_eval_count': 212, 'prompt_eval_duration': 22000000, 'eval_count': 4, 'eval_duration': 58000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-867063f2-c8b1-4fa0-83dd-9a83dfca92c9-0' usage_metadata={'input_tokens': 212, 'output_tokens': 4, 'total_tokens': 216}"
